kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,active_cycles_sys,1899828468,1899828468,1899828468
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,elapsed_cycles_sys,1899828468,1899828468,1899828468
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,fb_subp0_read_sectors,3280,3280,3280
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,fb_subp1_read_sectors,3188,3188,3188
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,fb_subp0_write_sectors,2674,2674,2674
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,fb_subp1_write_sectors,2874,2874,2874
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_write_sector_misses,3016,3016,3016
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_write_sector_misses,3040,3040,3040
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_read_sector_misses,3321,3321,3321
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_read_sector_misses,3332,3332,3332
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_read_tex_sector_queries,804,804,804
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_read_tex_sector_queries,797,797,797
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_write_tex_sector_queries,7455,7455,7455
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_write_tex_sector_queries,14276,14276,14276
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_read_tex_hit_sectors,574,574,574
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_read_tex_hit_sectors,557,557,557
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_write_tex_hit_sectors,14023,14023,14023
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_write_tex_hit_sectors,7219,7219,7219
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_total_read_sector_queries,4129,4129,4129
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_total_read_sector_queries,105497,105497,105497
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_total_write_sector_queries,15043,15043,15043
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_total_write_sector_queries,8252,8252,8252
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_read_sysmem_sector_queries,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_read_sysmem_sector_queries,101962,101962,101962
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp0_write_sysmem_sector_queries,4,4,4
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,64,128,1,l2_subp1_write_sysmem_sector_queries,1,1,1
