kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fma_pipe_s1,10,12,10
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fma_pipe_s2,10,12,10
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,inst_executed_fma_pipe_s3,10,12,10
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,tensor_pipe_active_cycles_s0,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,tensor_pipe_active_cycles_s1,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,tensor_pipe_active_cycles_s2,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,tensor_pipe_active_cycles_s3,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,pcie_tx_active_pulse,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,pcie_rx_active_pulse,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,active_cycles_sys,3816047,5228126,4374383
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l169,graph128k,128,10,elapsed_cycles_sys,3816047,5228126,4374383
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,fb_subp0_read_sectors,350,9172,3212
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,fb_subp1_read_sectors,276,9152,3150
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,fb_subp0_write_sectors,340,7135,3461
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,fb_subp1_write_sectors,380,7188,3536
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_write_sector_misses,1388,7079,3549
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_write_sector_misses,1445,7117,3554
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_read_sector_misses,312,9138,3155
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_read_sector_misses,310,9174,3156
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_read_tex_sector_queries,266,8376,2611
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_read_tex_sector_queries,265,8400,2609
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_write_tex_sector_queries,6713,56749,20536
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_write_tex_sector_queries,8717,27082,12254
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_read_tex_hit_sectors,129,2033,743
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_read_tex_hit_sectors,128,1990,734
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_write_tex_hit_sectors,5517,55214,19186
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_write_tex_hit_sectors,7521,25580,10909
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_total_read_sector_queries,1983,23891,10096
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_total_read_sector_queries,315,9716,3228
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp0_total_write_sector_queries,6726,56758,20582
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph16k,128,9,l2_subp1_total_write_sector_queries,8731,27098,12304
